id,popularity,rarity,brand,type,age,condition,weight,length,width,height,scarcity,price
0,96.643,Very Rare,D,AF66,9.576,B1,52.686,9.515,9.802,6.33,0.611,34447.415
1,96.68,Rare,F,DE13,10.434,D,46.25,10.656,10.644,7.13,0.94,33781.693
2,94.941,Common,C,JH88,7.734,B2,46.621,7.746,7.525,4.859,0.511,5980.375
3,93.081,Common,A,JH88,10.102,B2,33.374,6.972,7.215,4.172000000000001,,1760.608
4,98.431,Very Rare,C,AF66,10.766,B2,50.735,11.178,9.695,6.195,0.653,37898.402
5,96.507,Rare,C,LOP0,,D,44.417,9.908000000000001,8.557,5.629,0.464,19623.405
6,94.557,Common,E,AF66,,A2,36.252,8.439,8.184999999999999,5.13,0.453,5628.026
7,95.028,Very Rare,F,DE13,11.344,,46.832,8.108,9.379,6.297,0.466,16234.345
8,93.096,Common,C,RESS211,9.435,B1,32.341,7.104,6.508,3.897,0.794,2924.585
9,94.808,Somewhat Rare,A,JH88,10.091,D,55.309,7.469,6.832,4.056,0.8440000000000001,697.182
10,94.668,Rare,F,AF66,9.679,B2,54.007999999999996,9.774000000000001,9.475999999999999,5.013999999999999,0.9299999999999999,17618.398
11,94.701,Common,F,IJN13,10.989,A2,33.493,7.537,6.029999999999999,4.513,0.787,655.46
12,93.148,Somewhat Rare,E,LOP0,10.223,A1,54.967,9.227,9.030999999999999,5.736,0.788,14760.8
13,93.21,Common,,WE92,9.782,B2,34.527,6.762,6.73,3.578,0.6060000000000001,2168.966
14,98.179,Somewhat Rare,C,LOP0,,,35.323,8.949,9.199,5.412,0.718,11593.822
15,98.19,Very Rare,C,AF66,9.595,A2,35.094,7.091,7.989,4.104,0.601,484.917
16,98.463,Very Rare,C,DE13,8.167,A2,38.411,9.533000000000001,8.952,5.428,0.662,10446.255
17,94.854,Rare,D,IJN13,6.995,B1,26.367,7.902,6.458,4.627,0.7210000000000001,165.343
18,96.607,Very Rare,B,WE92,10.208,B2,49.157,9.096,9.113,4.772,0.637,22355.867
19,94.875,Rare,F,AF66,12.138,B2,55.132,9.214,7.943,5.508,0.897,5916.413
20,93.219,Common,C,JH88,8.458,B1,37.933,8.477,7.857,5.258,0.662,9394.613
21,89.942,Common,D,AF66,9.513,A2,28.723,5.984,6.81,4.313000000000001,0.526,1732.713
22,94.916,Common,B,AF66,10.649,A2,,6.18,7.426,4.532,0.5960000000000001,480.745
23,98.327,Very Rare,,LOP0,9.58,C1,44.391,7.41,7.583,3.973,0.6859999999999999,-1009.405
24,89.765,Common,A,LOP0,8.438,B1,39.645,7.231,8.059000000000001,4.62,1.0,5670.518
25,89.93,Rare,,JH88,9.097,B1,23.499,6.857,7.081,4.6240000000000006,0.539,1527.869
26,93.169,Common,A,LOP0,9.199,A2,56.519999999999996,7.786,8.523,5.134,0.875,5661.056
27,89.694,Common,C,JH88,10.529,A2,47.096000000000004,8.658999999999999,8.887,4.606,0.649,3912.743
28,98.317,Very Rare,A,LOP0,7.906,A1,31.671,8.812999999999999,10.091000000000001,5.825,0.676,14505.691
29,99.902,Very Rare,D,LOP0,9.89,B1,31.598,7.563,6.938,4.053,0.787,3247.768
30,94.857,Common,A,LOP0,8.673,B2,33.400999999999996,7.0,7.635,4.586,1.0130000000000001,2842.151
31,96.658,Common,A,LOP0,14.666,B1,,6.954,9.216000000000001,4.494,0.524,7880.462
32,89.909,,,JH88,11.118,C2,32.587,9.049,7.89,5.308,0.597,6252.582
33,93.074,Common,B,JH88,8.279,A1,52.289,6.648,7.046,4.51,0.905,2517.09
34,89.712,Common,C,JH88,10.325,A1,16.117,7.405,7.347,4.555,0.51,2987.293
35,91.461,,A,LOP0,10.347,B2,49.413,7.42,8.114,4.365,0.812,4984.204
36,93.132,Rare,A,IJN13,10.414,C1,52.828,7.21,6.195,4.734999999999999,0.661,890.277
37,93.29,Common,D,AF66,8.49,B1,66.51,8.053,6.546,4.0760000000000005,0.5780000000000001,842.814
38,95.065,Rare,C,DE13,11.71,A2,35.288,9.562000000000001,9.046,4.825,0.543,8553.802
